Class;Method;CC
DefaultParserTest;public void testLongOptionWithEqualsQuoteHandlingWithoutStrip() throws Exception;1
DefaultParserTest;public void testLongOptionWithEqualsQuoteHandlingWithStrip() throws Exception;1
DefaultParserTest;public void testShortOptionConcatenatedQuoteHandling() throws Exception;1
DefaultParserTest;public void testShortOptionQuoteHandlingWithoutStrip() throws Exception;1
DefaultParserTest;public void testShortOptionQuoteHandlingWithStrip() throws Exception;1
DeprecatedAttributesTest;public void testBuilderNonDefaults();1
DeprecatedAttributesTest;public void testBuilderNonDefaultsToString();1
DeprecatedAttributesTest;public void testDefaultBuilder();1
DeprecatedAttributesTest;public void testDefaultToString();1
DisablePartialMatchingTest;public void testDisablePartialMatching() throws Exception;1
DisablePartialMatchingTest;public void testRegularPartialMatching() throws Exception;1
GnuParserTest;public void setUp();1
GnuParserTest;public void testAmbiguousLongWithoutEqualSingleDash() throws Exception;1
GnuParserTest;public void testAmbiguousLongWithoutEqualSingleDash2() throws Exception;1
GnuParserTest;public void testAmbiguousPartialLongOption1() throws Exception;1
GnuParserTest;public void testAmbiguousPartialLongOption2() throws Exception;1
GnuParserTest;public void testAmbiguousPartialLongOption3() throws Exception;1
GnuParserTest;public void testAmbiguousPartialLongOption4() throws Exception;1
GnuParserTest;public void testBursting() throws Exception;1
GnuParserTest;public void testDoubleDash2() throws Exception;1
GnuParserTest;public void testLongWithoutEqualSingleDash() throws Exception;1
GnuParserTest;public void testLongWithUnexpectedArgument1() throws Exception;1
GnuParserTest;public void testLongWithUnexpectedArgument2() throws Exception;1
GnuParserTest;public void testMissingArgWithBursting() throws Exception;1
GnuParserTest;public void testNegativeOption() throws Exception;1
GnuParserTest;public void testPartialLongOptionSingleDash() throws Exception;1
GnuParserTest;public void testShortWithUnexpectedArgument() throws Exception;1
GnuParserTest;public void testStopBursting() throws Exception;1
GnuParserTest;public void testStopBursting2() throws Exception;1
GnuParserTest;public void testUnambiguousPartialLongOption1() throws Exception;1
GnuParserTest;public void testUnambiguousPartialLongOption2() throws Exception;1
GnuParserTest;public void testUnambiguousPartialLongOption3() throws Exception;1
GnuParserTest;public void testUnambiguousPartialLongOption4() throws Exception;1
GnuParserTest;public void testUnrecognizedOptionWithBursting() throws Exception;1
HelpFormatterTest; static Stream<Arguments> deprecatedOptionsProvider();1
HelpFormatterTest;public void testAccessors();1
HelpFormatterTest;public void testAutomaticUsage();1
HelpFormatterTest;public void testDefaultArgName();1
HelpFormatterTest;public void testFindWrapPos();1
HelpFormatterTest;public void testHeaderStartingWithLineSeparator0();1
HelpFormatterTest;public void testHeaderStartingWithLineSeparator1();1
HelpFormatterTest;public void testHelpWithLongOptSeparator();1
HelpFormatterTest;public void testIndentedHeaderAndFooter();1
HelpFormatterTest;public void testOptionWithoutShortFormat();1
HelpFormatterTest;public void testOptionWithoutShortFormat2();1
HelpFormatterTest;public void testPrintDeprecatedOptions(final HelpFormatter hf, final Option option, final String expectedTxt);2
HelpFormatterTest;public void testPrintHelpNewlineFooter();1
HelpFormatterTest;public void testPrintHelpNewlineHeader();1
HelpFormatterTest;public void testPrintHelpWithEmptySyntax();1
HelpFormatterTest;public void testPrintHelpWithSince();1
HelpFormatterTest;public void testPrintOptionGroupUsage();1
HelpFormatterTest;public void testPrintOptions();1
HelpFormatterTest;public void testPrintOptionWithEmptyArgNameUsage();1
HelpFormatterTest;public void testPrintRequiredOptionGroupUsage();1
HelpFormatterTest;public void testPrintSortedUsage();1
HelpFormatterTest;public void testPrintSortedUsageWithNullComparator();1
HelpFormatterTest;public void testPrintUsage();1
HelpFormatterTest;public void testRenderSince() throws IOException;1
HelpFormatterTest;public void testRenderWrappedTextMultiLine();1
HelpFormatterTest;public void testRenderWrappedTextMultiLinePadded();1
HelpFormatterTest;public void testRenderWrappedTextSingleLine() throws IOException;1
HelpFormatterTest;public void testRenderWrappedTextSingleLinePadded();1
HelpFormatterTest;public void testRenderWrappedTextSingleLinePadded2();1
HelpFormatterTest;public void testRenderWrappedTextWordCut();1
HelpFormatterTest;public void testRtrim();1
HelpFormatterTest;public void testUsageWithLongOptSeparator();1
OptionBuilderTest;public void testBaseOptionCharOpt();1
OptionBuilderTest;public void testBaseOptionStringOpt();1
OptionBuilderTest;public void testBuilderIsResettedAlways();1
OptionBuilderTest;public void testCompleteOption();1
OptionBuilderTest;public void testCreateIncompleteOption();1
OptionBuilderTest;public void testIllegalOptions();1
OptionBuilderTest;public void testOptionArgNumbers();1
OptionBuilderTest;public void testSpecialOptChars() throws Exception;1
OptionBuilderTest;public void testTwoCompleteOptions();1
OptionGroupTest;public void setUp();1
OptionGroupTest;public void testGetNames();1
OptionGroupTest;public void testNoOptionsExtraArgs() throws Exception;1
OptionGroupTest;public void testSingleLongOption() throws Exception;1
OptionGroupTest;public void testSingleOption() throws Exception;1
OptionGroupTest;public void testSingleOptionFromGroup() throws Exception;1
OptionGroupTest;public void testToString();3
OptionGroupTest;public void testTwoLongOptionsFromGroup() throws Exception;1
OptionGroupTest;public void testTwoOptionsFromDifferentGroup() throws Exception;1
OptionGroupTest;public void testTwoOptionsFromGroup() throws Exception;1
OptionGroupTest;public void testTwoOptionsFromGroupWithProperties() throws Exception;1
OptionGroupTest;public void testTwoValidLongOptions() throws Exception;1
OptionGroupTest;public void testTwoValidOptions() throws Exception;1
OptionGroupTest;public void testValidLongOnlyOptions() throws Exception;1
OptionsTest;private void assertToStrings(final Option option);1
OptionsTest;public void testAddConflictingOptions();1
OptionsTest;public void testAddNonConflictingOptions();1
OptionsTest;public void testAddOptions();1
OptionsTest;public void testAddOptions2X();1
OptionsTest;public void testDeprecated();1
OptionsTest;public void testDuplicateLong();1
OptionsTest;public void testDuplicateSimple();1
OptionsTest;public void testGetMatchingOpts();1
OptionsTest;public void testGetOptionsGroups();1
OptionsTest;public void testHelpOptions();1
OptionsTest;public void testLong();1
OptionsTest;public void testMissingOptionException() throws ParseException;1
OptionsTest;public void testMissingOptionsException() throws ParseException;1
OptionsTest;public void testSimple();1
OptionsTest;public void testToString();1
OptionTest;private static void checkOption(final Option option, final String opt, final String description, final String longOpt, final int numArgs, final String argName, final boolean required, final boolean optionalArg, final char valueSeparator, final Class<?> cls, final String deprecatedDesc, final Boolean deprecatedForRemoval, final String deprecatedSince);4
OptionTest;private Option roundTrip(final Option o) throws IOException, ClassNotFoundException;1
OptionTest;public void testAddValue();1
OptionTest;public void testBuilderEmpty();1
OptionTest;public void testBuilderInsufficientParams1();1
OptionTest;public void testBuilderInsufficientParams2();1
OptionTest;public void testBuilderInvalidOptionName0();1
OptionTest;public void testBuilderInvalidOptionName1();1
OptionTest;public void testBuilderInvalidOptionName2();1
OptionTest;public void testBuilderInvalidOptionName3();1
OptionTest;public void testBuilderInvalidOptionName4();1
OptionTest;public void testBuilderMethods();1
OptionTest;public void testClear();1
OptionTest;public void testClone();1
OptionTest;public void testEquals();1
OptionTest;public void testGetValue();1
OptionTest;public void testHasArgName();1
OptionTest;public void testHasArgs();1
OptionTest;public void testHashCode();1
OptionTest;public void testSerialization() throws IOException, ClassNotFoundException;1
OptionTest;public void testSubclass();1
OptionTest;public void testTypeClass();1
OptionTest;public void testTypeObject();1
OptionValidatorTest;private static Stream<Arguments> optionParameters();1
OptionValidatorTest;public static void setup();4
OptionValidatorTest;public void testExclusivity();1
OptionValidatorTest;public void validateTest(final String str, final boolean expected, final String name);2
ParseExceptionTest;public void testConstructor();1
PatternOptionBuilderTest;public void testClassPattern() throws Exception;1
PatternOptionBuilderTest;public void testEmptyPattern();1
PatternOptionBuilderTest;public void testExistingFilePattern() throws Exception;1
PatternOptionBuilderTest;public void testExistingFilePatternFileNotExist() throws Exception;1
PatternOptionBuilderTest;public void testNumberPattern() throws Exception;1
PatternOptionBuilderTest;public void testObjectPattern() throws Exception;1
PatternOptionBuilderTest;public void testRequiredOption() throws Exception;1
PatternOptionBuilderTest;public void testSimplePattern() throws Exception;1
PatternOptionBuilderTest;public void testUntypedPattern() throws Exception;1
PatternOptionBuilderTest;public void testURLPattern() throws Exception;1
PosixParserTest;public void setUp();1
PosixParserTest;public void testAmbiguousLongWithoutEqualSingleDash() throws Exception;1
PosixParserTest;public void testAmbiguousLongWithoutEqualSingleDash2() throws Exception;1
PosixParserTest;public void testAmbiguousPartialLongOption4() throws Exception;1
PosixParserTest;public void testDoubleDash2() throws Exception;1
PosixParserTest;public void testLongWithEqualSingleDash() throws Exception;1
PosixParserTest;public void testLongWithoutEqualSingleDash() throws Exception;1
PosixParserTest;public void testLongWithUnexpectedArgument1() throws Exception;1
PosixParserTest;public void testNegativeOption() throws Exception;1
PosixParserTest;public void testShortWithEqual() throws Exception;1
PosixParserTest;public void testUnambiguousPartialLongOption4() throws Exception;1
SolrCliTest;public static String getDefaultSolrUrl();1
SolrCliTest;public void testOptions();1
SolrCreateToolTest;public List<Option> getOptions();1
SolrCreateToolTest;private String printHelp(final HelpFormatter formatter);1
SolrCreateToolTest;public void testHelpFormatter();1
SolrCreateToolTest;public void testHelpFormatterDeprecated();1
TypeHandlerTest;private static Stream<Date> createDateFixtures();1
TypeHandlerTest;private static Stream<Arguments> createValueTestParameters() throws MalformedURLException;1
TypeHandlerTest;public void testCreateClass() throws ParseException;1
TypeHandlerTest;public void testCreateDate(final Date date);1
TypeHandlerTest;public void testCreateFile();1
TypeHandlerTest;public void testCreateFiles();1
TypeHandlerTest;public void testCreateNumber() throws ParseException;1
TypeHandlerTest;public void testCreateObject() throws ParseException;1
TypeHandlerTest;public void testCreateURL() throws ParseException, MalformedURLException;1
TypeHandlerTest;public void testCreateValue(final String str, final Class<?> type, final Object expected) throws Exception;2
TypeHandlerTest;public void testCreateValueExistingFile() throws Exception;1
TypeHandlerTest;public void testnstantiableEquals();1
TypeHandlerTest;public void testOpenFile() throws ParseException, IOException;1
TypeHandlerTest;public void testRegister();1
UnrecognizedOptionExceptionTest;public void testConstructor();1
UtilTest;public void testStripLeadingAndTrailingQuotes();1
UtilTest;public void testStripLeadingHyphens();1
ValuesTest;public void setUp() throws Exception;1
ValuesTest;public void testCharSeparator();1
ValuesTest;public void testComplexValues();1
ValuesTest;public void testExtraArgs();1
ValuesTest;public void testMultipleArgValues();1
ValuesTest;public void testShortArgs();1
ValuesTest;public void testShortArgsWithValue();1
ValuesTest;public void testTwoArgValues();1
ValueTest;protected static Stream<CommandLineParser> parsers();1
ValueTest;public void setUp() throws Exception;1
ValueTest;public void testLongNoArg();1
ValueTest;public void testLongNoArgWithOption();1
ValueTest;public void testLongOptionalArgValue(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalArgValues(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalArgValuesWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalArgValueWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalNArgValues(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalNArgValuesWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalNoValue(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongOptionalNoValueWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testLongWithArg();1
ValueTest;public void testLongWithArgWithOption();1
ValueTest;public void testShortNoArg();1
ValueTest;public void testShortNoArgWithOption();1
ValueTest;public void testShortOptionalArgNoValue(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalArgNoValueWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalArgValue(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalArgValues(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalArgValuesWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalArgValueWithOption(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalNArgValues(final CommandLineParser parser) throws Exception;1
ValueTest;public void testShortOptionalNArgValuesSeparated() throws Exception;1
ValueTest;public void testShortOptionalNArgValuesWithOption() throws Exception;1
ValueTest;public void testShortWithArg();1
ValueTest;public void testShortWithArgWithOption();1
